Place of residence,Place of Work,Number of Persons
Central and Western,Central and Western,48647
Wan Chai,Central and Western,19244
Eastern,Central and Western,42452
Southern,Central and Western,24074
Yau Tsim Mong,Central and Western,20439
Sham Shui Po,Central and Western,17157
Kowloon City,Central and Western,18213
Wong Tai Sin,Central and Western,13289
Kwun Tong,Central and Western,22096
Kwai Tsing,Central and Western,15852
Tsuen Wan,Central and Western,12593
Tuen Mun,Central and Western,12330
Yuen Long,Central and Western,16149
North,Central and Western,5551
Tai Po,Central and Western,7775
Sha Tin,Central and Western,19657
Sai Kung,Central and Western,21542
Islands,Central and Western,9399
Central and Western,Wan Chai,12938
Wan Chai,Wan Chai,21861
Eastern,Wan Chai,37655
Southern,Wan Chai,16625
Yau Tsim Mong,Wan Chai,11265
Sham Shui Po,Wan Chai,12851
Kowloon City,Wan Chai,13563
Wong Tai Sin,Wan Chai,11885
Kwun Tong,Wan Chai,22361
Kwai Tsing,Wan Chai,12691
Tsuen Wan,Wan Chai,8762
Tuen Mun,Wan Chai,9561
Yuen Long,Wan Chai,11223
North,Wan Chai,5128
Tai Po,Wan Chai,6256
Sha Tin,Wan Chai,17519
Sai Kung,Wan Chai,18120
Islands,Wan Chai,4605
Central and Western,Eastern,8161
Wan Chai,Eastern,8735
Eastern,Eastern,65803
Southern,Eastern,8887
Yau Tsim Mong,Eastern,5913
Sham Shui Po,Eastern,7353
Kowloon City,Eastern,8566
Wong Tai Sin,Eastern,8829
Kwun Tong,Eastern,19359
Kwai Tsing,Eastern,6468
Tsuen Wan,Eastern,4914
Tuen Mun,Eastern,4998
Yuen Long,Eastern,5862
North,Eastern,3033
Tai Po,Eastern,3783
Sha Tin,Eastern,11583
Sai Kung,Eastern,19077
Islands,Eastern,2546
Central and Western,Southern,4793
Wan Chai,Southern,2503
Eastern,Southern,8398
Southern,Southern,28882
Yau Tsim Mong,Southern,2673
Sham Shui Po,Southern,2539
Kowloon City,Southern,2876
Wong Tai Sin,Southern,2190
Kwun Tong,Southern,4094
Kwai Tsing,Southern,2282
Tsuen Wan,Southern,1628
Tuen Mun,Southern,1569
Yuen Long,Southern,2216
North,Southern,704
Tai Po,Southern,829
Sha Tin,Southern,2626
Sai Kung,Southern,2736
Islands,Southern,940
Central and Western,Yau Tsim Mong,7692
Wan Chai,Yau Tsim Mong,5537
Eastern,Yau Tsim Mong,17009
Southern,Yau Tsim Mong,7317
Yau Tsim Mong,Yau Tsim Mong,47903
Sham Shui Po,Yau Tsim Mong,27228
Kowloon City,Yau Tsim Mong,29110
Wong Tai Sin,Yau Tsim Mong,25749
Kwun Tong,Yau Tsim Mong,32098
Kwai Tsing,Yau Tsim Mong,23605
Tsuen Wan,Yau Tsim Mong,13674
Tuen Mun,Yau Tsim Mong,17327
Yuen Long,Yau Tsim Mong,21404
North,Yau Tsim Mong,12006
Tai Po,Yau Tsim Mong,12856
Sha Tin,Yau Tsim Mong,33266
Sai Kung,Yau Tsim Mong,20058
Islands,Yau Tsim Mong,4611
Central and Western,Sham Shui Po,2274
Wan Chai,Sham Shui Po,1708
Eastern,Sham Shui Po,5627
Southern,Sham Shui Po,2145
Yau Tsim Mong,Sham Shui Po,7372
Sham Shui Po,Sham Shui Po,34057
Kowloon City,Sham Shui Po,8386
Wong Tai Sin,Sham Shui Po,10458
Kwun Tong,Sham Shui Po,11870
Kwai Tsing,Sham Shui Po,16369
Tsuen Wan,Sham Shui Po,9006
Tuen Mun,Sham Shui Po,10545
Yuen Long,Sham Shui Po,10771
North,Sham Shui Po,4566
Tai Po,Sham Shui Po,5040
Sha Tin,Sham Shui Po,13541
Sai Kung,Sham Shui Po,7559
Islands,Sham Shui Po,1940
Central and Western,Kowloon City,1945
Wan Chai,Kowloon City,1898
Eastern,Kowloon City,5565
Southern,Kowloon City,2528
Yau Tsim Mong,Kowloon City,7009
Sham Shui Po,Kowloon City,7683
Kowloon City,Kowloon City,32143
Wong Tai Sin,Kowloon City,13866
Kwun Tong,Kowloon City,15832
Kwai Tsing,Kowloon City,7046
Tsuen Wan,Kowloon City,4745
Tuen Mun,Kowloon City,4363
Yuen Long,Kowloon City,6513
North,Kowloon City,4238
Tai Po,Kowloon City,4799
Sha Tin,Kowloon City,13097
Sai Kung,Kowloon City,8654
Islands,Kowloon City,1072
Central and Western,Wong Tai Sin,575
Wan Chai,Wong Tai Sin,674
Eastern,Wong Tai Sin,2023
Southern,Wong Tai Sin,399
Yau Tsim Mong,Wong Tai Sin,1779
Sham Shui Po,Wong Tai Sin,2988
Kowloon City,Wong Tai Sin,4637
Wong Tai Sin,Wong Tai Sin,21938
Kwun Tong,Wong Tai Sin,9016
Kwai Tsing,Wong Tai Sin,2783
Tsuen Wan,Wong Tai Sin,1811
Tuen Mun,Wong Tai Sin,2087
Yuen Long,Wong Tai Sin,2205
North,Wong Tai Sin,1372
Tai Po,Wong Tai Sin,1966
Sha Tin,Wong Tai Sin,6456
Sai Kung,Wong Tai Sin,5135
Islands,Wong Tai Sin,325
Central and Western,Kwun Tong,4319
Wan Chai,Kwun Tong,4717
Eastern,Kwun Tong,19097
Southern,Kwun Tong,5217
Yau Tsim Mong,Kwun Tong,9757
Sham Shui Po,Kwun Tong,12426
Kowloon City,Kwun Tong,17240
Wong Tai Sin,Kwun Tong,24679
Kwun Tong,Kwun Tong,69591
Kwai Tsing,Kwun Tong,12956
Tsuen Wan,Kwun Tong,8410
Tuen Mun,Kwun Tong,10624
Yuen Long,Kwun Tong,11786
North,Kwun Tong,7906
Tai Po,Kwun Tong,10379
Sha Tin,Kwun Tong,25668
Sai Kung,Kwun Tong,33847
Islands,Kwun Tong,2364
Central and Western,Tseung Kwan O New Town,469
Wan Chai,Tseung Kwan O New Town,425
Eastern,Tseung Kwan O New Town,2578
Southern,Tseung Kwan O New Town,534
Yau Tsim Mong,Tseung Kwan O New Town,898
Sham Shui Po,Tseung Kwan O New Town,1632
Kowloon City,Tseung Kwan O New Town,1924
Wong Tai Sin,Tseung Kwan O New Town,3244
Kwun Tong,Tseung Kwan O New Town,7721
Kwai Tsing,Tseung Kwan O New Town,1635
Tsuen Wan,Tseung Kwan O New Town,915
Tuen Mun,Tseung Kwan O New Town,668
Yuen Long,Tseung Kwan O New Town,930
North,Tseung Kwan O New Town,509
Tai Po,Tseung Kwan O New Town,1085
Sha Tin,Tseung Kwan O New Town,2674
Sai Kung,Tseung Kwan O New Town,20939
Islands,Tseung Kwan O New Town,131
Central and Western,Tsuen Wan New Town,1278
Wan Chai,Tsuen Wan New Town,858
Eastern,Tsuen Wan New Town,2423
Southern,Tsuen Wan New Town,1038
Yau Tsim Mong,Tsuen Wan New Town,3106
Sham Shui Po,Tsuen Wan New Town,5263
Kowloon City,Tsuen Wan New Town,3091
Wong Tai Sin,Tsuen Wan New Town,3797
Kwun Tong,Tsuen Wan New Town,4174
Kwai Tsing,Tsuen Wan New Town,21536
Tsuen Wan,Tsuen Wan New Town,27444
Tuen Mun,Tsuen Wan New Town,11714
Yuen Long,Tsuen Wan New Town,12454
North,Tsuen Wan New Town,2462
Tai Po,Tsuen Wan New Town,3413
Sha Tin,Tsuen Wan New Town,7631
Sai Kung,Tsuen Wan New Town,2795
Islands,Tsuen Wan New Town,1240
Central and Western,Tuen Mun New Town,815
Wan Chai,Tuen Mun New Town,749
Eastern,Tuen Mun New Town,1019
Southern,Tuen Mun New Town,481
Yau Tsim Mong,Tuen Mun New Town,1370
Sham Shui Po,Tuen Mun New Town,1708
Kowloon City,Tuen Mun New Town,1166
Wong Tai Sin,Tuen Mun New Town,1400
Kwun Tong,Tuen Mun New Town,1437
Kwai Tsing,Tuen Mun New Town,2865
Tsuen Wan,Tuen Mun New Town,2717
Tuen Mun,Tuen Mun New Town,55400
Yuen Long,Tuen Mun New Town,22157
North,Tuen Mun New Town,1977
Tai Po,Tuen Mun New Town,840
Sha Tin,Tuen Mun New Town,2129
Sai Kung,Tuen Mun New Town,725
Islands,Tuen Mun New Town,389
Central and Western,Yuen Long New Town,337
Wan Chai,Yuen Long New Town,132
Eastern,Yuen Long New Town,542
Southern,Yuen Long New Town,196
Yau Tsim Mong,Yuen Long New Town,467
Sham Shui Po,Yuen Long New Town,1113
Kowloon City,Yuen Long New Town,685
Wong Tai Sin,Yuen Long New Town,686
Kwun Tong,Yuen Long New Town,943
Kwai Tsing,Yuen Long New Town,1689
Tsuen Wan,Yuen Long New Town,1195
Tuen Mun,Yuen Long New Town,8452
Yuen Long,Yuen Long New Town,31594
North,Yuen Long New Town,2276
Tai Po,Yuen Long New Town,1029
Sha Tin,Yuen Long New Town,959
Sai Kung,Yuen Long New Town,261
Islands,Yuen Long New Town,124
Central and Western,Tin Shui Wai New Town,70
Wan Chai,Tin Shui Wai New Town,114
Eastern,Tin Shui Wai New Town,240
Southern,Tin Shui Wai New Town,30
Yau Tsim Mong,Tin Shui Wai New Town,178
Sham Shui Po,Tin Shui Wai New Town,353
Kowloon City,Tin Shui Wai New Town,206
Wong Tai Sin,Tin Shui Wai New Town,134
Kwun Tong,Tin Shui Wai New Town,235
Kwai Tsing,Tin Shui Wai New Town,427
Tsuen Wan,Tin Shui Wai New Town,428
Tuen Mun,Tin Shui Wai New Town,3408
Yuen Long,Tin Shui Wai New Town,16016
North,Tin Shui Wai New Town,452
Tai Po,Tin Shui Wai New Town,182
Sha Tin,Tin Shui Wai New Town,292
Sai Kung,Tin Shui Wai New Town,112
Islands,Tin Shui Wai New Town,18
Central and Western,Fanling/ Sheung Shui New Town,217
Wan Chai,Fanling/ Sheung Shui New Town,169
Eastern,Fanling/ Sheung Shui New Town,533
Southern,Fanling/ Sheung Shui New Town,146
Yau Tsim Mong,Fanling/ Sheung Shui New Town,421
Sham Shui Po,Fanling/ Sheung Shui New Town,749
Kowloon City,Fanling/ Sheung Shui New Town,814
Wong Tai Sin,Fanling/ Sheung Shui New Town,702
Kwun Tong,Fanling/ Sheung Shui New Town,990
Kwai Tsing,Fanling/ Sheung Shui New Town,790
Tsuen Wan,Fanling/ Sheung Shui New Town,862
Tuen Mun,Fanling/ Sheung Shui New Town,2369
Yuen Long,Fanling/ Sheung Shui New Town,4416
North,Fanling/ Sheung Shui New Town,26187
Tai Po,Fanling/ Sheung Shui New Town,4089
Sha Tin,Fanling/ Sheung Shui New Town,3759
Sai Kung,Fanling/ Sheung Shui New Town,922
Islands,Fanling/ Sheung Shui New Town,193
Central and Western,Tai Po New Town,706
Wan Chai,Tai Po New Town,567
Eastern,Tai Po New Town,1397
Southern,Tai Po New Town,325
Yau Tsim Mong,Tai Po New Town,1269
Sham Shui Po,Tai Po New Town,1863
Kowloon City,Tai Po New Town,2477
Wong Tai Sin,Tai Po New Town,2121
Kwun Tong,Tai Po New Town,2588
Kwai Tsing,Tai Po New Town,2048
Tsuen Wan,Tai Po New Town,1938
Tuen Mun,Tai Po New Town,1838
Yuen Long,Tai Po New Town,3904
North,Tai Po New Town,9499
Tai Po,Tai Po New Town,28160
Sha Tin,Tai Po New Town,8689
Sai Kung,Tai Po New Town,2113
Islands,Tai Po New Town,293
Central and Western,Sha Tin New Town,1053
Wan Chai,Sha Tin New Town,889
Eastern,Sha Tin New Town,3613
Southern,Sha Tin New Town,1440
Yau Tsim Mong,Sha Tin New Town,3449
Sham Shui Po,Sha Tin New Town,4213
Kowloon City,Sha Tin New Town,5126
Wong Tai Sin,Sha Tin New Town,6277
Kwun Tong,Sha Tin New Town,6890
Kwai Tsing,Sha Tin New Town,5882
Tsuen Wan,Sha Tin New Town,4456
Tuen Mun,Sha Tin New Town,3885
Yuen Long,Sha Tin New Town,5794
North,Sha Tin New Town,10913
Tai Po,Sha Tin New Town,10906
Sha Tin,Sha Tin New Town,51378
Sai Kung,Sha Tin New Town,4957
Islands,Sha Tin New Town,697
Central and Western,Ma On Shan New Town,32
Wan Chai,Ma On Shan New Town,67
Eastern,Ma On Shan New Town,243
Southern,Ma On Shan New Town,78
Yau Tsim Mong,Ma On Shan New Town,177
Sham Shui Po,Ma On Shan New Town,246
Kowloon City,Ma On Shan New Town,255
Wong Tai Sin,Ma On Shan New Town,580
Kwun Tong,Ma On Shan New Town,453
Kwai Tsing,Ma On Shan New Town,483
Tsuen Wan,Ma On Shan New Town,205
Tuen Mun,Ma On Shan New Town,266
Yuen Long,Ma On Shan New Town,223
North,Ma On Shan New Town,745
Tai Po,Ma On Shan New Town,1012
Sha Tin,Ma On Shan New Town,10383
Sai Kung,Ma On Shan New Town,473
Islands,Ma On Shan New Town,39
Central and Western,Kwai Chung New Town,1961
Wan Chai,Kwai Chung New Town,1210
Eastern,Kwai Chung New Town,3774
Southern,Kwai Chung New Town,1590
Yau Tsim Mong,Kwai Chung New Town,4797
Sham Shui Po,Kwai Chung New Town,9227
Kowloon City,Kwai Chung New Town,5056
Wong Tai Sin,Kwai Chung New Town,6309
Kwun Tong,Kwai Chung New Town,6871
Kwai Tsing,Kwai Chung New Town,38999
Tsuen Wan,Kwai Chung New Town,14240
Tuen Mun,Kwai Chung New Town,12235
Yuen Long,Kwai Chung New Town,11477
North,Kwai Chung New Town,3133
Tai Po,Kwai Chung New Town,3962
Sha Tin,Kwai Chung New Town,10923
Sai Kung,Kwai Chung New Town,4879
Islands,Kwai Chung New Town,2076
Central and Western,Tsing Yi New Town,358
Wan Chai,Tsing Yi New Town,279
Eastern,Tsing Yi New Town,1057
Southern,Tsing Yi New Town,379
Yau Tsim Mong,Tsing Yi New Town,771
Sham Shui Po,Tsing Yi New Town,1423
Kowloon City,Tsing Yi New Town,1062
Wong Tai Sin,Tsing Yi New Town,1456
Kwun Tong,Tsing Yi New Town,1494
Kwai Tsing,Tsing Yi New Town,12173
Tsuen Wan,Tsing Yi New Town,2081
Tuen Mun,Tsing Yi New Town,2110
Yuen Long,Tsing Yi New Town,2397
North,Tsing Yi New Town,992
Tai Po,Tsing Yi New Town,651
Sha Tin,Tsing Yi New Town,1828
Sai Kung,Tsing Yi New Town,920
Islands,Tsing Yi New Town,679
Central and Western,North Lantau New Town,205
Wan Chai,North Lantau New Town,81
Eastern,North Lantau New Town,257
Southern,North Lantau New Town,67
Yau Tsim Mong,North Lantau New Town,460
Sham Shui Po,North Lantau New Town,839
Kowloon City,North Lantau New Town,358
Wong Tai Sin,North Lantau New Town,357
Kwun Tong,North Lantau New Town,623
Kwai Tsing,North Lantau New Town,1838
Tsuen Wan,North Lantau New Town,747
Tuen Mun,North Lantau New Town,1036
Yuen Long,North Lantau New Town,815
North,North Lantau New Town,326
Tai Po,North Lantau New Town,284
Sha Tin,North Lantau New Town,637
Sai Kung,North Lantau New Town,122
Islands,North Lantau New Town,3898
Central and Western,Other areas in the New Territories,2196
Wan Chai,Other areas in the New Territories,1314
Eastern,Other areas in the New Territories,4509
Southern,Other areas in the New Territories,2529
Yau Tsim Mong,Other areas in the New Territories,4479
Sham Shui Po,Other areas in the New Territories,5342
Kowloon City,Other areas in the New Territories,5029
Wong Tai Sin,Other areas in the New Territories,6621
Kwun Tong,Other areas in the New Territories,8920
Kwai Tsing,Other areas in the New Territories,12333
Tsuen Wan,Other areas in the New Territories,6141
Tuen Mun,Other areas in the New Territories,14654
Yuen Long,Other areas in the New Territories,26201
North,Other areas in the New Territories,10291
Tai Po,Other areas in the New Territories,5379
Sha Tin,Other areas in the New Territories,11218
Sai Kung,Other areas in the New Territories,11296
Islands,Other areas in the New Territories,20865
Central and Western,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,38493
Wan Chai,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,32278
Eastern,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,70559
Southern,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,38424
Yau Tsim Mong,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,47132
Sham Shui Po,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,47312
Kowloon City,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,55241
Wong Tai Sin,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,42710
Kwun Tong,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,65921
Kwai Tsing,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,56677
Tsuen Wan,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,39874
Tuen Mun,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,53895
Yuen Long,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,75169
North,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,36320
Tai Po,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,39149
Sha Tin,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,79289
Sai Kung,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,58090
Islands,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,21371