place_of_residence,place_of_work,N_workers,place_of_residence_chi,place_of_work_chi
Yuen Long,Tin Shui Wai New Town,16016,元朗,天水圍新市鎮
North,Tin Shui Wai New Town,452,北區,天水圍新市鎮
Tai Po,Tin Shui Wai New Town,182,大埔,天水圍新市鎮
Sha Tin,Tin Shui Wai New Town,292,沙田,天水圍新市鎮
Sai Kung,Tin Shui Wai New Town,112,西貢,天水圍新市鎮
Islands,Tin Shui Wai New Town,18,離島,天水圍新市鎮
Central and Western,Fanling/ Sheung Shui New Town,217,中西區,粉嶺／上水新市鎮
Wan Chai,Fanling/ Sheung Shui New Town,169,灣仔,粉嶺／上水新市鎮
Eastern,Fanling/ Sheung Shui New Town,533,東區,粉嶺／上水新市鎮
Southern,Fanling/ Sheung Shui New Town,146,南區,粉嶺／上水新市鎮
Yau Tsim Mong,Fanling/ Sheung Shui New Town,421,油尖旺,粉嶺／上水新市鎮
Sham Shui Po,Fanling/ Sheung Shui New Town,749,深水埗,粉嶺／上水新市鎮
Kowloon City,Fanling/ Sheung Shui New Town,814,九龍城,粉嶺／上水新市鎮
Wong Tai Sin,Fanling/ Sheung Shui New Town,702,黃大仙,粉嶺／上水新市鎮
Kwun Tong,Fanling/ Sheung Shui New Town,990,觀塘,粉嶺／上水新市鎮
Kwai Tsing,Fanling/ Sheung Shui New Town,790,葵青,粉嶺／上水新市鎮
Tsuen Wan,Fanling/ Sheung Shui New Town,862,荃灣,粉嶺／上水新市鎮
Tuen Mun,Fanling/ Sheung Shui New Town,2369,屯門,粉嶺／上水新市鎮
Yuen Long,Fanling/ Sheung Shui New Town,4416,元朗,粉嶺／上水新市鎮
North,Fanling/ Sheung Shui New Town,26187,北區,粉嶺／上水新市鎮
Tai Po,Fanling/ Sheung Shui New Town,4089,大埔,粉嶺／上水新市鎮
Sha Tin,Fanling/ Sheung Shui New Town,3759,沙田,粉嶺／上水新市鎮
Sai Kung,Fanling/ Sheung Shui New Town,922,西貢,粉嶺／上水新市鎮
Islands,Fanling/ Sheung Shui New Town,193,離島,粉嶺／上水新市鎮
Central and Western,Tai Po New Town,706,中西區,大埔新市鎮
Wan Chai,Tai Po New Town,567,灣仔,大埔新市鎮
Eastern,Tai Po New Town,1397,東區,大埔新市鎮
Southern,Tai Po New Town,325,南區,大埔新市鎮
Yau Tsim Mong,Tai Po New Town,1269,油尖旺,大埔新市鎮
Sham Shui Po,Tai Po New Town,1863,深水埗,大埔新市鎮
Kowloon City,Tai Po New Town,2477,九龍城,大埔新市鎮
Wong Tai Sin,Tai Po New Town,2121,黃大仙,大埔新市鎮
Kwun Tong,Tai Po New Town,2588,觀塘,大埔新市鎮
Kwai Tsing,Tai Po New Town,2048,葵青,大埔新市鎮
Tsuen Wan,Tai Po New Town,1938,荃灣,大埔新市鎮
Tuen Mun,Tai Po New Town,1838,屯門,大埔新市鎮
Yuen Long,Tai Po New Town,3904,元朗,大埔新市鎮
North,Tai Po New Town,9499,北區,大埔新市鎮
Tai Po,Tai Po New Town,28160,大埔,大埔新市鎮
Sha Tin,Tai Po New Town,8689,沙田,大埔新市鎮
Sai Kung,Tai Po New Town,2113,西貢,大埔新市鎮
Islands,Tai Po New Town,293,離島,大埔新市鎮
Central and Western,Sha Tin New Town,1053,中西區,沙田新市鎮
Wan Chai,Sha Tin New Town,889,灣仔,沙田新市鎮
Eastern,Sha Tin New Town,3613,東區,沙田新市鎮
Southern,Sha Tin New Town,1440,南區,沙田新市鎮
Yau Tsim Mong,Sha Tin New Town,3449,油尖旺,沙田新市鎮
Sham Shui Po,Sha Tin New Town,4213,深水埗,沙田新市鎮
Kowloon City,Sha Tin New Town,5126,九龍城,沙田新市鎮
Wong Tai Sin,Sha Tin New Town,6277,黃大仙,沙田新市鎮
Kwun Tong,Sha Tin New Town,6890,觀塘,沙田新市鎮
Kwai Tsing,Sha Tin New Town,5882,葵青,沙田新市鎮
Tsuen Wan,Sha Tin New Town,4456,荃灣,沙田新市鎮
Tuen Mun,Sha Tin New Town,3885,屯門,沙田新市鎮
Yuen Long,Sha Tin New Town,5794,元朗,沙田新市鎮
North,Sha Tin New Town,10913,北區,沙田新市鎮
Tai Po,Sha Tin New Town,10906,大埔,沙田新市鎮
Sha Tin,Sha Tin New Town,51378,沙田,沙田新市鎮
Sai Kung,Sha Tin New Town,4957,西貢,沙田新市鎮
Islands,Sha Tin New Town,697,離島,沙田新市鎮
Central and Western,Ma On Shan New Town,32,中西區,馬鞍山新市鎮
Wan Chai,Ma On Shan New Town,67,灣仔,馬鞍山新市鎮
Eastern,Ma On Shan New Town,243,東區,馬鞍山新市鎮
Southern,Ma On Shan New Town,78,南區,馬鞍山新市鎮
Yau Tsim Mong,Ma On Shan New Town,177,油尖旺,馬鞍山新市鎮
Sham Shui Po,Ma On Shan New Town,246,深水埗,馬鞍山新市鎮
Kowloon City,Ma On Shan New Town,255,九龍城,馬鞍山新市鎮
Wong Tai Sin,Ma On Shan New Town,580,黃大仙,馬鞍山新市鎮
Kwun Tong,Ma On Shan New Town,453,觀塘,馬鞍山新市鎮
Kwai Tsing,Ma On Shan New Town,483,葵青,馬鞍山新市鎮
Tsuen Wan,Ma On Shan New Town,205,荃灣,馬鞍山新市鎮
Tuen Mun,Ma On Shan New Town,266,屯門,馬鞍山新市鎮
Yuen Long,Ma On Shan New Town,223,元朗,馬鞍山新市鎮
North,Ma On Shan New Town,745,北區,馬鞍山新市鎮
Tai Po,Ma On Shan New Town,1012,大埔,馬鞍山新市鎮
Sha Tin,Ma On Shan New Town,10383,沙田,馬鞍山新市鎮
Sai Kung,Ma On Shan New Town,473,西貢,馬鞍山新市鎮
Islands,Ma On Shan New Town,39,離島,馬鞍山新市鎮
Central and Western,Kwai Chung New Town,1961,中西區,葵涌新市鎮
Wan Chai,Kwai Chung New Town,1210,灣仔,葵涌新市鎮
Eastern,Kwai Chung New Town,3774,東區,葵涌新市鎮
Southern,Kwai Chung New Town,1590,南區,葵涌新市鎮
Yau Tsim Mong,Kwai Chung New Town,4797,油尖旺,葵涌新市鎮
Sham Shui Po,Kwai Chung New Town,9227,深水埗,葵涌新市鎮
Kowloon City,Kwai Chung New Town,5056,九龍城,葵涌新市鎮
Wong Tai Sin,Kwai Chung New Town,6309,黃大仙,葵涌新市鎮
Kwun Tong,Kwai Chung New Town,6871,觀塘,葵涌新市鎮
Kwai Tsing,Kwai Chung New Town,38999,葵青,葵涌新市鎮
Tsuen Wan,Kwai Chung New Town,14240,荃灣,葵涌新市鎮
Tuen Mun,Kwai Chung New Town,12235,屯門,葵涌新市鎮
Yuen Long,Kwai Chung New Town,11477,元朗,葵涌新市鎮
North,Kwai Chung New Town,3133,北區,葵涌新市鎮
Tai Po,Kwai Chung New Town,3962,大埔,葵涌新市鎮
Sha Tin,Kwai Chung New Town,10923,沙田,葵涌新市鎮
Sai Kung,Kwai Chung New Town,4879,西貢,葵涌新市鎮
Islands,Kwai Chung New Town,2076,離島,葵涌新市鎮
Central and Western,Tsing Yi New Town,358,中西區,青衣新市鎮
Wan Chai,Tsing Yi New Town,279,灣仔,青衣新市鎮
Eastern,Tsing Yi New Town,1057,東區,青衣新市鎮
Southern,Tsing Yi New Town,379,南區,青衣新市鎮
Yau Tsim Mong,Tsing Yi New Town,771,油尖旺,青衣新市鎮
Sham Shui Po,Tsing Yi New Town,1423,深水埗,青衣新市鎮
Kowloon City,Tsing Yi New Town,1062,九龍城,青衣新市鎮
Wong Tai Sin,Tsing Yi New Town,1456,黃大仙,青衣新市鎮
Kwun Tong,Tsing Yi New Town,1494,觀塘,青衣新市鎮
Kwai Tsing,Tsing Yi New Town,12173,葵青,青衣新市鎮
Tsuen Wan,Tsing Yi New Town,2081,荃灣,青衣新市鎮
Tuen Mun,Tsing Yi New Town,2110,屯門,青衣新市鎮
Yuen Long,Tsing Yi New Town,2397,元朗,青衣新市鎮
North,Tsing Yi New Town,992,北區,青衣新市鎮
Tai Po,Tsing Yi New Town,651,大埔,青衣新市鎮
Sha Tin,Tsing Yi New Town,1828,沙田,青衣新市鎮
Sai Kung,Tsing Yi New Town,920,西貢,青衣新市鎮
Islands,Tsing Yi New Town,679,離島,青衣新市鎮
Central and Western,North Lantau New Town,205,中西區,北大嶼山新市鎮
Wan Chai,North Lantau New Town,81,灣仔,北大嶼山新市鎮
Eastern,North Lantau New Town,257,東區,北大嶼山新市鎮
Southern,North Lantau New Town,67,南區,北大嶼山新市鎮
Yau Tsim Mong,North Lantau New Town,460,油尖旺,北大嶼山新市鎮
Sham Shui Po,North Lantau New Town,839,深水埗,北大嶼山新市鎮
Kowloon City,North Lantau New Town,358,九龍城,北大嶼山新市鎮
Wong Tai Sin,North Lantau New Town,357,黃大仙,北大嶼山新市鎮
Kwun Tong,North Lantau New Town,623,觀塘,北大嶼山新市鎮
Kwai Tsing,North Lantau New Town,1838,葵青,北大嶼山新市鎮
Tsuen Wan,North Lantau New Town,747,荃灣,北大嶼山新市鎮
Tuen Mun,North Lantau New Town,1036,屯門,北大嶼山新市鎮
Yuen Long,North Lantau New Town,815,元朗,北大嶼山新市鎮
North,North Lantau New Town,326,北區,北大嶼山新市鎮
Tai Po,North Lantau New Town,284,大埔,北大嶼山新市鎮
Sha Tin,North Lantau New Town,637,沙田,北大嶼山新市鎮
Sai Kung,North Lantau New Town,122,西貢,北大嶼山新市鎮
Islands,North Lantau New Town,3898,離島,北大嶼山新市鎮
Central and Western,Other areas in the New Territories,2196,中西區,新界其他地區
Wan Chai,Other areas in the New Territories,1314,灣仔,新界其他地區
Eastern,Other areas in the New Territories,4509,東區,新界其他地區
Southern,Other areas in the New Territories,2529,南區,新界其他地區
Yau Tsim Mong,Other areas in the New Territories,4479,油尖旺,新界其他地區
Sham Shui Po,Other areas in the New Territories,5342,深水埗,新界其他地區
Kowloon City,Other areas in the New Territories,5029,九龍城,新界其他地區
Wong Tai Sin,Other areas in the New Territories,6621,黃大仙,新界其他地區
Kwun Tong,Other areas in the New Territories,8920,觀塘,新界其他地區
Kwai Tsing,Other areas in the New Territories,12333,葵青,新界其他地區
Tsuen Wan,Other areas in the New Territories,6141,荃灣,新界其他地區
Tuen Mun,Other areas in the New Territories,14654,屯門,新界其他地區
Yuen Long,Other areas in the New Territories,26201,元朗,新界其他地區
North,Other areas in the New Territories,10291,北區,新界其他地區
Tai Po,Other areas in the New Territories,5379,大埔,新界其他地區
Sha Tin,Other areas in the New Territories,11218,沙田,新界其他地區
Sai Kung,Other areas in the New Territories,11296,西貢,新界其他地區
Islands,Other areas in the New Territories,20865,離島,新界其他地區
Central and Western,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,38493,中西區,在香港沒有固定工作地點／水上／於家中工作／香港以外地方
Wan Chai,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,32278,灣仔,在香港沒有固定工作地點／水上／於家中工作／香港以外地方
Eastern,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,70559,東區,在香港沒有固定工作地點／水上／於家中工作／香港以外地方
Southern,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,38424,南區,在香港沒有固定工作地點／水上／於家中工作／香港以外地方
Yau Tsim Mong,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,47132,油尖旺,在香港沒有固定工作地點／水上／於家中工作／香港以外地方
Sham Shui Po,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,47312,深水埗,在香港沒有固定工作地點／水上／於家中工作／香港以外地方
Kowloon City,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,55241,九龍城,在香港沒有固定工作地點／水上／於家中工作／香港以外地方
Wong Tai Sin,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,42710,黃大仙,在香港沒有固定工作地點／水上／於家中工作／香港以外地方
Kwun Tong,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,65921,觀塘,在香港沒有固定工作地點／水上／於家中工作／香港以外地方
Kwai Tsing,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,56677,葵青,在香港沒有固定工作地點／水上／於家中工作／香港以外地方
Tsuen Wan,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,39874,荃灣,在香港沒有固定工作地點／水上／於家中工作／香港以外地方
Tuen Mun,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,53895,屯門,在香港沒有固定工作地點／水上／於家中工作／香港以外地方
Yuen Long,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,75169,元朗,在香港沒有固定工作地點／水上／於家中工作／香港以外地方
North,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,36320,北區,在香港沒有固定工作地點／水上／於家中工作／香港以外地方
Tai Po,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,39149,大埔,在香港沒有固定工作地點／水上／於家中工作／香港以外地方
Sha Tin,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,79289,沙田,在香港沒有固定工作地點／水上／於家中工作／香港以外地方
Sai Kung,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,58090,西貢,在香港沒有固定工作地點／水上／於家中工作／香港以外地方
Islands,No fixed places of work in Hong Kong/ Marine/ Work at home/ Places outside Hong Kong,21371,離島,在香港沒有固定工作地點／水上／於家中工作／香港以外地方